Time,Velocity,Acceleration,Altitude,Thrust
3.11,52.18843357,13.69962557,28.89224149,14.5
3.12,52.32531717,13.68835962,29.07097053,14.5
3.13,52.46190551,13.658834,29.25016724,14.5
3.14,52.59819837,13.62928573,29.4298306,14.5
3.15,52.73419552,13.59971508,29.6099596,14.5
3.16,52.86989674,13.57012232,29.79055323,14.5
3.17,53.00530182,13.54050773,29.97161049,14.5
3.18,53.14041054,13.51087158,30.15313035,14.5
3.19,53.27522268,13.48121414,30.3351118,14.5
3.2,53.40973803,13.45153568,30.51755382,14.5
3.21,53.5439564,13.42183646,30.70045541,14.5
3.22,53.67787757,13.39211677,30.88381555,14.5
3.23,53.81150133,13.36237686,31.06763321,14.5
3.24,53.9448275,13.33261701,31.25190739,14.5
3.25,54.07785588,13.3028375,31.43663706,14.5
3.26,54.21058627,13.27303857,31.6218212,14.5
3.27,54.34301847,13.24322051,31.8074588,14.5
3.28,54.47515231,13.21338359,31.99354883,14.5
3.29,54.60698759,13.18352806,32.18009027,14.5
3.3,54.73852413,13.1536542,32.36708211,14.5
3.31,54.86976175,13.12376227,32.55452332,14.5
3.32,55.00070028,13.09385254,32.74241288,14.5
3.33,55.13133953,13.06392528,32.93074976,14.5
3.34,55.26167934,13.03398074,33.11953294,14.5
3.35,55.39171953,13.0040192,33.30876139,14.5
3.36,55.52145994,12.97404092,33.4984341,14.5
3.37,55.6509004,12.94404616,33.68855003,14.5
3.38,55.78004075,12.91403519,33.87910817,14.5
3.39,55.88890474,10.88639885,34.07007331,14.5
3.4,55.97251082,8.36060799,34.2613676,14.5
3.41,56.01708753,4.457671265,34.45288109,14.5
3.42,56.01847128,0.138374588,34.64447318,14.5
3.43,55.95042726,-6.804401879,34.83595127,14.5
3.44,55.88246707,-6.796019416,35.02719679,14.5
3.45,55.81459049,-6.787657448,35.21821,14.5
3.46,55.74679733,-6.779315913,35.40899121,14.5
3.47,55.67908738,-6.770994748,35.5995407,14.5
3.48,55.61146045,-6.762693892,35.78985874,14.5
3.49,55.54391631,-6.754413282,35.97994563,14.5
3.5,55.47645478,-6.746152856,36.16980165,14.5
3.51,55.40907566,-6.737912553,36.35942707,14.5
3.52,55.34177874,-6.729692312,36.54882219,14.5
3.53,55.27456382,-6.721492071,36.73798728,14.5
3.54,55.2074307,-6.71331177,36.92692261,14.5
3.55,55.14037918,-6.705151347,37.11562848,14.5
3.56,55.07340908,-6.697010743,37.30410516,14.5
3.57,55.00652018,-6.688889898,37.49235293,14.5
3.58,54.93971229,-6.680788751,37.68037206,14.5
3.59,54.87298522,-6.672707242,37.86816283,14.5
3.6,54.80633876,-6.664645314,38.05572552,14.5
3.61,54.73977274,-6.656602905,38.24306041,14.5
3.62,54.67328694,-6.648579958,38.43016776,14.5
3.63,54.60688117,-6.640576413,38.61704785,14.5
3.64,54.54055525,-6.632592212,38.80370096,14.5
3.65,54.47430898,-6.624627297,38.99012736,14.5
3.66,54.40814216,-6.616681609,39.17632732,14.5
3.67,54.34205461,-6.608755091,39.3623011,14.5
3.68,54.27604613,-6.600847685,39.548049,14.5
3.69,54.21011654,-6.592959334,39.73357126,14.5
3.7,54.14426564,-6.58508998,39.91886817,14.5
3.71,54.07849324,-6.577239567,40.10393999,14.5
3.72,54.01279916,-6.569408038,40.28878698,14.5
3.73,53.94718321,-6.561595336,40.47340942,14.5
3.74,53.8816452,-6.553801404,40.65780758,14.5
3.75,53.81618493,-6.546026188,40.84198172,14.5
3.76,53.75080224,-6.53826963,41.0259321,14.5
3.77,53.68549692,-6.530531676,41.20965899,14.5
3.78,53.6202688,-6.52281227,41.39316266,14.5
3.79,53.55511769,-6.515111356,41.57644336,14.5
3.8,53.4900434,-6.50742888,41.75950137,14.5
3.81,53.42504575,-6.499764786,41.94233694,14.5
3.82,53.36012456,-6.492119021,42.12495034,14.5
3.83,53.29527964,-6.484491529,42.30734182,14.5
3.84,53.23051082,-6.476882257,42.48951165,14.5
3.85,53.16581791,-6.469291151,42.67146009,14.5
3.86,53.10120073,-6.461718156,42.85318739,14.5
3.87,53.0366591,-6.454163219,43.03469382,14.5
3.88,52.97219283,-6.446626287,43.21597964,14.5
3.89,52.90780176,-6.439107307,43.39704509,14.5
3.9,52.8434857,-6.431606225,43.57789045,14.5
3.91,52.77924447,-6.424122989,43.75851595,14.5
3.92,52.71507789,-6.416657547,43.93892187,14.5
3.93,52.65098579,-6.409209845,44.11910845,14.5
3.94,52.58696799,-6.401779832,44.29907595,14.5
3.95,52.52302432,-6.394367456,44.47882462,14.5
3.96,52.45915459,-6.386972665,44.65835472,14.5
3.97,52.39535864,-6.379595407,44.8376665,14.5
3.98,52.33163628,-6.372235631,45.01676021,14.5
3.99,52.26798735,-6.364893286,45.1956361,14.5
4,52.20441167,-6.35756832,45.37429442,14.5
4.01,52.14090906,-6.350260684,45.55273543,14.5
4.02,52.07747936,-6.342970326,45.73095937,14.5
4.03,52.01412239,-6.335697196,45.9089665,14.5
4.04,51.95083797,-6.328441244,46.08675705,14.5
4.05,51.88762595,-6.321202419,46.26433128,14.5
4.06,51.82448614,-6.313980672,46.44168944,14.5
4.07,51.76141838,-6.306775953,46.61883177,14.5
4.08,51.6984225,-6.299588212,46.79575852,14.5
4.09,51.63549833,-6.292417401,46.97246993,14.5
4.1,51.57264569,-6.28526347,47.14896625,14.5
4.11,51.50986443,-6.27812637,47.32524772,14.5
4.12,51.44715437,-6.271006052,47.50131459,14.5
4.13,51.38451534,-6.263902469,47.67716711,14.5
4.14,51.32194719,-6.25681557,47.8528055,14.5
4.15,51.25944973,-6.249745309,48.02823002,14.5
4.16,51.19702282,-6.242691637,48.20344091,14.5
4.17,51.13466627,-6.235654507,48.3784384,14.5
4.18,51.07237993,-6.22863387,48.55322275,14.5
4.19,51.01016364,-6.221629679,48.72779418,14.5
4.2,50.94801722,-6.214641887,48.90215294,14.5
4.21,50.88594051,-6.207670447,49.07629926,14.5
4.22,50.82393336,-6.200715312,49.25023339,14.5
4.23,50.7619956,-6.193776434,49.42395556,14.5
4.24,50.70012706,-6.186853767,49.59746601,14.5
